name,Description,Location,tags
Watsi,Watsi is the first global crowdfunding platform for medical…,"San Francisco, CA, USA","W13,Healthcare"
Goldbelly,Empowering restaurants and small food makers to ship nationwide.,"New York, NY, USA","W13,Consumer,Food and Beverage"
Wevorce,Changing divorce for good by making it a way less horrible experience…,"Bothell, WA, USA","W13,Consumer,Home and Personal"
Wefunder,We're Robinhood for pre-IPO startups. Everyone can invest $100.,"San Francisco, CA, USA","W13,Fintech,Asset Management"
SimplyInsured,We sell health insurance to small businesses 100% online.,"San Francisco, CA, USA","W13,Healthcare,Healthcare Services"
CircuitHub,Electronics factory automation,"London, England, United Kingdom","W12,Industrials,Manufacturing and Robotics"
Experiment,crowdfunding platform for science,"Honolulu, HI, USA","W13,Healthcare,Healthcare Services"
RADAR,RADAR is building technology to completely transform the in-store…,"New York, NY, USA","W13,B2B,Retail"
Lollipuff,Online Auctions for Authentic (Women's) Designer Goods,"Mountain View, CA, USA","W13,Consumer,Apparel and Cosmetics"
Strikingly,"The easiest way to create a beautiful, mobile optimized website.","Shanghai, Shanghai, China","W13,B2B,Marketing"
InfluxData,The platform for building and operating time series applications.,"San Francisco, CA, USA","W13,B2B,Infrastructure"
Etleap,Etleap is an ETL solution for creating perfect data pipelines. ,"San Francisco, CA, USA","W13,B2B,Infrastructure"
Cheetah,"Fastest, easiest, and most affordable way for small business owners…","San Francisco, CA, USA","W13,B2B,Retail"
Lawdingo,Lawdingo provides virtual paralegal services to law firms.,"New York, NY, USA","W13,Consumer,Home and Personal"
Padlet,Papyrus → Parchment → Paper → Padlet,"San Francisco, CA, USA","W13,B2B,Productivity"
BuildZoom,BuildZoom is a better way to remodel. We connect homeowners to the…,"San Francisco, CA, USA","W13,Consumer,Home and Personal"
Monzo Bank,A bank as smart as your phone.,"London, England, United Kingdom","Fintech,Consumer Finance"
Scuba,Hadoop for impatient people.,"Redwood City, CA, USA","W13,B2B,Analytics"
CircuitLab,Online circuit simulator and electronic schematic editor.,"Redwood City, CA, USA","W13,B2B,Engineering, Product and Design"
9gag,Make the world happier.,"Hong Kong, Hong Kong","S12,Consumer,Social"
Svbtle,A publishing platform.,"San Francisco, CA, USA","S12,Consumer,Content"
Plivo,"Plivo enables businesses to add SMS, Voice capability into their apps.","Austin, TX, USA","S12,B2B,Engineering, Product and Design"
Double Robotics,Telepresence robots,"Burlingame, CA, USA","S12,B2B,Productivity"
Vastrm,Mass customized active apparel. We are building a full turn key…,"Burlingame, CA, USA","S12,Consumer,Apparel and Cosmetics"
Flightfox,"A platform to plan, book and manage global and group travel.","Boulder, CO, USA","S12,B2B,Operations"
BackerKit,BackerKit is crowdfunding software that helps project creators manage…,"San Francisco, CA, USA","S12,B2B,Sales"
Submittable,"The best way to launch, manage and measure social impact programs","Missoula, MT, USA","S12,B2B"
NewsBlur,NewsBlur is an RSS news reader with intelligence.,"Cambridge, MA, USA","S12,Consumer,Content"
OctaveWealth,The 401(k) that helps you grow,"San Francisco, CA, USA","S12,B2B,Human Resources"
Upwave,Marketing analytics for the world's biggest brand marketers,"San Francisco, CA, USA","S12,B2B,Operations"
Eligible,Insurance Billing APIs for Healthcare Businesses ,"NY, USA","S12,Healthcare,Healthcare IT"
FundersClub,Online VC,"San Francisco, CA, USA","S12,Fintech,Asset Management"
Zentail,We're making ecommerce simple connecting brands with sales channels,"Columbia, MD, USA","S12,B2B,Supply Chain and Logistics"
Mattermost,Secure Collaboration for Technical Teams,"Palo Alto, CA, USA","S12,B2B,Productivity"
HealthSherpa,Private sector Healthcare.gov. ,"Sacramento, CA, USA","S12,Healthcare,Healthcare Services"
Human Dx,The Human Diagnosis Project.,"San Francisco, CA, USA","S12,Healthcare,Healthcare IT"
Mth Sense,We're a mobile on-device profiling and ad-serving platform initially…,"San Jose, CA, USA","S12,B2B,Marketing"
Rainforest,no-code end-to-end testing that integrates with any CI/CD pipeline,"San Francisco, CA, USA","S12,B2B,Engineering, Product and Design"
Screenleap,One-click screen sharing with installation-free viewing on all devices,"San Carlos, CA, USA","W12,B2B,Productivity"
Buxfer,Buxfer helps you make better spending decisions by making it easy to…,"Santa Clara, CA, USA","W07,Fintech,Consumer Finance"
Virtualmin,,"Mountain View, CA, USA","W07,B2B,Infrastructure"
Blue Frog Gaming,,"Akron, OH, USA","S07,Consumer,Gaming"
CleverDeck,Collaborate with an artist to commission original artwork you'll live…,"Istanbul, Istanbul, Turkey","W12,Education"
Shoptiques,Shoptiques.com lets you shop the world's best local boutiques online.,"New York, NY, USA","W12,Consumer,Apparel and Cosmetics"
Ninite,Simple third-party app patching and deployment for Windows.,"San Francisco, CA, USA","W08,B2B,Infrastructure"
RescueTime,Take Back Control of your Time,"Seattle, WA, USA","W08,B2B,Productivity"
Outerport,VMware for GPUs,"San Francisco, CA, USA","S24,B2B,Infrastructure"
DreamRP,Character AI meets Patreon,"San Francisco, CA, USA","S24,Consumer"
Melty,Open source AI code editor for 10x engineers,"San Francisco, CA, USA","S24,B2B,Engineering, Product and Design"
Syntra,First AI-Native EHR That Automates Back-Office for Doctors,"San Francisco, CA, USA","S24,Healthcare,Healthcare IT"
PathPilot,Turn Session Replays into Actionable Insights ,"San Francisco, CA, USA","S24,B2B"
Standard Data,Building LLM connectors to integrate manufacturing data.,"San Francisco, CA, USA","S24,B2B"
Kairo Health,The AI healthcare workforce,"New York, NY, USA","S24,Healthcare,Healthcare IT"
Midship,Extract documents straight to your spreadsheets,"San Francisco, CA, USA","S24,B2B,Finance and Accounting"
Soma Lab,Simulated patients to scale medical education.,"San Francisco, CA, USA","S24,Healthcare"
Merlin AI,AI powered ERP for Construction,"Los Angeles, CA, USA","S24,B2B"
Freestyle,Build exceptional infrastructure with just JavaScript.,"San Francisco, CA, USA","S24,B2B,Infrastructure"
Arva AI,AI agents for instant business verification,"San Francisco, CA, USA","S24,B2B"
Affil.ai,AI Compliance For Financial Affiliate Marketing,"San Francisco, CA, USA","S24,B2B,Marketing"
OrgOrg,Organizational productivity suite for companies,"Los Altos, CA, USA","S24,B2B,Productivity"
Patched,Open-source workflow automation for dev teams,"San Francisco, CA, USA","S24,B2B,Productivity"
Village Labs,Helping America's businesses become employee owned,"New York, NY, USA","S24,B2B,Human Resources"
Mica AI,Turn Sales Calls into Personalized Deal Summary Pages,"San Francisco, CA, USA","S24,B2B,Sales"
Formula Insight,"Database for Hedge Funds to store, query and analyze financial models",,"S24,B2B"
Overlap,A new podcast app that uses AI to curate the best moments for you.,,"S24,Consumer,Content"
Capitol AI,Infinitely smart research assistant that generates content from data,"Washington, DC, USA","S24,B2B,Productivity"
Kart AI,The AI shopping assistant for all e-commerce brands,"San Francisco, CA, USA","S24,B2B,Engineering, Product and Design"
Anglera,Plaid for E-Commerce Data,"San Francisco, CA, USA","S24,B2B,Retail"
XTraffic,Technology for cities to automate and manage their traffic lights.,"Dallas, TX, USA","S24,Government"
Felafax,Building AI Infra for non-NVIDIA GPUs ,"San Francisco, CA, USA","S24,B2B,Infrastructure"
Henry,Generative AI for Commercial Real Estate Professionals,"New York, NY, USA","S24,Real Estate and Construction"
Hey Revia,Voice AI to automate complex phone calls for healthcare providers,"San Francisco, CA, USA","S24,B2B"
Ficra,"Visual map of every ad, email, flow, and screen your users see.","San Francisco, CA, USA","S24,B2B"
RowBoat Labs,LLM Agents for Customer Support,"San Francisco, CA, USA","S24,B2B"
Pipeshift AI,Fine-tuning and Inferencing for Open-source LLMs.,"San Francisco, CA, USA","S24,B2B,Infrastructure"
Vera Health,Providing AI agents to healthcare companies ,"San Francisco, CA, USA","S24,Healthcare,Healthcare Services"
Pharos,Automating hospital reporting and preventing patient harm with AI,"San Francisco, CA, USA","S24,Healthcare,Healthcare IT"
et al.,Daily feed of insights extracted from your go-to sources using LLMs.,,"S24,Consumer"
Affix API,API for data migrations for HR/Payroll companies,"San Francisco, CA, USA","S24,B2B,Engineering, Product and Design"
Keet,Integrate with the Internet,,"S24,B2B"
Terra,"Terra simplifies product design, manufacturing, and sourcing for SMBs","New York, NY, USA","S24,B2B,Supply Chain and Logistics"
AI Sell,AI Sales Associate for Ecommerce,"San Francisco, CA, USA","S24,B2B,Operations"
"Diode Computers, Inc.",Automate Hardware Engineering using AI,"New York, NY, USA","S24,B2B,Engineering, Product and Design"
SureBright,Offer your own Apple Care-like warranty program in 10 minutes!,"New York, NY, USA","S24,B2B,Retail"
Usul,AI Insights for Defense Contractors,"San Francisco, CA, USA","S24,B2B"
Saldor,The web scraper for AI,"San Francisco, CA, USA","S24,B2B,Engineering, Product and Design"
Bucket Robotics,Defect detection for manufacturing built from CAD and synthetic data.,"Pittsburgh, PA, USA","S24,Industrials,Manufacturing and Robotics"
Oway,Ridesharing freight with ML to cut SMB shipping costs by 50%,"San Francisco, CA, USA","S24,B2B,Supply Chain and Logistics"
Elayne,AI estate planner & executor for employees and their families,"Denver, CO, USA","S24,B2B,Human Resources"
Blaze,Global Venmo for cross border payments,"Mexico City, CDMX, Mexico","S24,Fintech,Payments"
pap!,The world owes you money. We get it for you.,"Berkeley, CA, USA","S24,Consumer"
Mindely,The first GenAI interviewer conducting complex business interviews,"San Francisco, CA, USA","S24,B2B"
TradeFlow,We build AI software to automate stock trade settlement.,"New York, NY, USA","S24,Fintech"
Voker,No-Code AI Builder,"San Francisco, CA, USA","S24,B2B,Engineering, Product and Design"
Rastro,Your personal interior designer.,"San Francisco, CA, USA","S24,Consumer"
Quetzal,"Simple, LLM-first translation and internationalization for software","Oakland, CA, USA","S24,B2B,Engineering, Product and Design"
Weavel,Performance analytics & testing for LLM applications  🔍,"San Francisco, CA, USA","S24,B2B,Engineering, Product and Design"
Moreta,Payments made easy for international travelers.,,"S24,Fintech,Payments"
Focus Buddy,AI Productivity Coach: Get work done when you are struggling to focus,"San Francisco, CA, USA","S24,Consumer,Content"
Simplifine,AI-powered workspace for research,"San Francisco, CA, USA","S24,Consumer"
Sepal AI,The data development platform for LLM users and builders.,"San Francisco, CA, USA","S24,B2B"
Assembly HOA,AI-enabled HOA management,"Los Angeles, CA, USA","S24,Real Estate and Construction,Housing and Real Estate"
autarc,autarc is the OS for HVAC installers to install more heat pumps,,"S24,B2B"
omnidock,Sell on all eCommerce marketplaces globally,"Berlin, Berlin, Germany","S24,B2B,Operations"
Polymet,An AI that can design and code,"San Francisco, CA, USA","S24,B2B,Engineering, Product and Design"
Kontigo,USDC-Smart Neobank for Latinos. ,"San Francisco, CA, USA","S24,Fintech,Banking and Exchange"
Remo,AI for compliance teams at banks,"San Francisco, CA, USA","S24,Fintech"
Propaya,AI-powered software to automate property management.,"San Francisco, CA, USA","S24,Real Estate and Construction,Housing and Real Estate"
Vendra,AI vendor and project management for hardware teams,"San Francisco, CA, USA","S24,B2B,Engineering, Product and Design"
Argil,The video generation engine for the creator economy ,"Paris, Île-de-France, France","S24,Consumer"
ZeroPath,"Automatically find, verify, and fix web app vulnerabilities","San Francisco, CA, USA","S24,B2B,Security"
Actionbase,Making the web agent-interpretable. ,"San Francisco, CA, USA","S24,B2B,Engineering, Product and Design"
Corpdaq,Stripe of Lending for Asia,"Singapore, Singapore","S24,Fintech"
Lumen Orbit,Data centers in space,"Redmond, WA, USA","S24,Industrials,Aviation and Space"
Dataleap,Perplexity for Consultants,"San Francisco, CA, USA","S24,B2B"
Zimi,Amazon-like fulfillment for exporters in emerging markets,,"S24,B2B,Supply Chain and Logistics"
Thyme,Meeting intelligence for financial advisors.,"San Francisco, CA, USA","S24,B2B,Finance and Accounting"
Ionworks,Build and run battery simulations at scale,"Pittsburgh, PA, USA","S24,Industrials,Energy"
Rescript,Regulatory and Policy Intelligence for Law and Government Relations,,"S24,B2B,Legal"
Zigma - by NextUI,Design system creation & management platform.,"San Francisco, CA, USA","S24,B2B,Engineering, Product and Design"
Helium,AI App Monetization ,"San Francisco, CA, USA","S24,B2B,Engineering, Product and Design"
&AI,The definitive platform for patent due diligence,"San Francisco, CA, USA","S24,B2B,Legal"
Haystack Software,Visualize and edit your codebase on an infinite canvas,"San Francisco, CA, USA","S24,B2B,Engineering, Product and Design"
Finosu,Compliance automation for the credit industry,,"S24,Fintech,Credit and Lending"
Odo,Help companies find and win government contracts with AI,"New York, NY, USA","S24,Government"
Baseline AI,AI document creation and data management for clinical trials,"San Francisco, CA, USA","S24,Healthcare,Healthcare IT"
Zephr,AI customer success manager,"San Francisco, CA, USA","S24,B2B"
Winford AI,AI-Powered Software for Institutional Credit Investors,"New York, NY, USA","S24,B2B,Productivity"
Cartage,Autonomous freight operations,,"S24,B2B,Supply Chain and Logistics"
Paasa,Invest in US markets from emerging economies,"Gurugram, HR, India","S24,Fintech,Asset Management"
Blast,Helping enterprises build safe and compliant LLM apps/agents,"San Francisco, CA, USA","S24,B2B,Security"
Lilac Labs,We automate the person taking orders at drive-thrus with a voice AI,"San Francisco, CA, USA","S24,B2B"
Palmier,AI Native Github Alternative,"San Francisco, CA, USA","S24,B2B,Productivity"
Simple AI,Better Siri,"San Francisco, CA, USA","S24,Consumer"
Sensei,Robotic Training Data at Scale,"San Francisco, CA, USA","S24,Industrials,Manufacturing and Robotics"
Guardian RF,Drone detection and signal intelligence for US defense. ,"San Francisco, CA, USA","S24,Industrials,Drones"
Laminar AI,Open-source DataDog + PostHog for complex AI agents,"San Francisco, CA, USA","S24,B2B,Engineering, Product and Design"
Cerulion,Cross-platform robot middleware with no-code GUI,,"S24,B2B"
Presti AI,Product photography for furniture companies with generative AI,,"S24,B2B,Retail"
The Forecasting Company,New foundation models for time series,"Paris, Île-de-France, France","S24,B2B"
Praxos,AI workbench for insurance teams,"Miami, FL, USA","S24,B2B"
Exa Laboratories,Energy efficient chips for AI,"San Francisco, CA, USA","S24,Industrials"
SchemeFlow,Automate the technical reports required for construction projects.,,"S24,Real Estate and Construction"
Brighterway,Automating the workers-compensation claims review process,,"S24,Healthcare,Healthcare IT"
Mineflow,Mineflow predicts the shape and location of mineral deposits,,"S24,Industrials"
Soff,Supply chain operating system for manufacturing companies.,"San Francisco, CA, USA","S24,B2B,Supply Chain and Logistics"
Parley,Automating visa applications,"San Francisco, CA, USA","S24,B2B,Legal"
Intryc,Intryc uses AI to automate quality assurance for customer support,"San Francisco, CA, USA","S24,B2B,Operations"
Pinnacle,Next Generation SMS Marketing,"San Francisco, CA, USA","S24,B2B,Marketing"
Ember Robotics,Camera diagnostics for robots,"San Francisco, CA, USA","S24,Industrials,Manufacturing and Robotics"
Thunder Compute,Cloud Computing Technology to virtualize GPUs over TCP.,"Atlanta, GA, USA","S24,B2B,Infrastructure"
Zeit AI,Insights from tabular data in just a few words.,"San Francisco, CA, USA","S24,B2B,Analytics"
Remade,Automating Video Ad Workflows using AI,"San Francisco, CA, USA","S24,B2B,Marketing"
Distro,The AI co-pilot for sales reps at industrial wholesale distributors.,"New York, NY, USA","S24,B2B,Supply Chain and Logistics"
Modern Realty,The AI real estate agent for home buying,"San Francisco, CA, USA","S24,Real Estate and Construction,Housing and Real Estate"
David AI,Data for multimodal AI,"San Francisco, CA, USA","S24,B2B"
BeeBettor,Robinhood for sports betting,,"S24,Consumer,Content"
Guardian AI,Helping healthcare providers fight insurance denials.,"New York, NY, USA","S24,Healthcare"
Stempad,Notion for science,,"S24,B2B,Productivity"
Pax,TurboTax for Import Duty Rebate,,"S24,B2B,Supply Chain and Logistics"
Conductor Quantum,Quantum computers on silicon chips using AI.,"San Francisco, CA, USA","S24,Industrials"
Autumn Labs,A platform to monitor and manage industrial robots and test stations.,"San Francisco, CA, USA","S24,Industrials,Manufacturing and Robotics"
Opslane,Open-source tool to reduce noisy alerts,"San Francisco, CA, USA","S24,B2B,Infrastructure"
Asterisk,AI-augmented security audits for modern development teams.,,"S24,B2B,Security"
Biocartesian,Converting biology into digital molecular maps,"San Francisco, CA, USA","S24,Healthcare,Drug Discovery and Delivery"
Seals AI,AI Employees for Wholesalers,"San Francisco, CA, USA","S24,B2B"
deepsilicon,Software and hardware to run neural networks faster and cheaper,"San Francisco, CA, USA","S24,Industrials"
Drillbit,Automating Office Work for Residential Contractors.,"Austin, TX, USA","S24,B2B,Operations"
Lumenary,AI-powered quality reporting for healthcare.,"San Francisco, CA, USA","S24,Healthcare"
Dimely,AI Copilot for B2B SaaS Billing Teams,"San Francisco, CA, USA","S24,B2B,Finance and Accounting"
Redouble AI,Automated Quality Control for AI Workflows in Regulated Industries,"San Francisco, CA, USA","S24,B2B"
Planbase,Workforce management for modern healthcare ,"San Francisco, CA, USA","S24,Healthcare,Healthcare IT"
Unriddle,Read and write research papers faster.,"San Francisco, CA, USA","S24,Consumer"
"Hestus, Inc.",An AI-powered CAD software,"San Francisco, CA, USA","S24,B2B,Engineering, Product and Design"
MagiCode,Proactive AI Pair Programmer,"Stanford, CA, USA","S24,B2B,Engineering, Product and Design"
FINNY AI,Using ML to supercharge organic growth for Financial Advisors,"New York, NY, USA","S24,Fintech,Asset Management"
Focal,AI automation for enterprises,"San Francisco, CA, USA","S24,B2B,Operations"
1849 bio,We make microbes enabling ultra cheap metal extraction.,"San Francisco, CA, USA","S24,Industrials"
ReactWise,AI co-pilot for chemical reaction optimization,,"S24,B2B,Engineering, Product and Design"
Olive Legal,AI medical summaries for personal injury lawyers.,"San Francisco, CA, USA","S24,B2B,Legal"
Saturn,Backoffice and compliance automation for wealth managers,"London, England, United Kingdom","S24,Fintech"
Clearly AI,Automate software security and privacy reviews,"Seattle, WA, USA","S24,B2B,Security"
expand.ai,The scraper to power your AI apps,"San Francisco, CA, USA","S24,B2B"
Overstand Labs,The cross-selling engine for enterprise software companies,,"S24,B2B,Sales"
Promi,"Optimizing ecommerce merchant pricing with dynamic, personalized…","San Francisco, CA, USA","S24,B2B,Retail"
Ontra Mobility,Platform for planning and operating multimodal transit systems,"New York, NY, USA","S24,Government"
Fortress,Tenant isolation simplified for SaaS,"San Francisco, CA, USA","S24,B2B,Engineering, Product and Design"
Panora,Open source integrations platform for the LLM era,"San Francisco, CA, USA","S24,B2B"
Manaflow,Automate repetitive office work in tables with AI,"San Francisco, CA, USA","S24,B2B"
Conveo,Qualitative Research Conducted and Analyzed by AI,"San Francisco, CA, USA","S24,B2B"
Parity,The World's First AI SRE,"San Francisco, CA, USA","S24,B2B"
Kastle,AI voice agents for mortgage servicing,"San Francisco, CA, USA","S24,B2B"
Kopra Bio,Viral immunotherapies that turn cancer cells into biofactories,"San Francisco, CA, USA","S24,Healthcare,Therapeutics"
Anthrogen,"Scalable, carbon-negative polymer manufacturing.","New York, NY, USA","S24,Industrials,Climate"
Benchify,Automatic code reviews powered by rocket-grade testing,"San Francisco, CA, USA","S24,B2B"
Fazeshift,AI agent for Accounts Receivable,"San Francisco, CA, USA","S24,B2B,Finance and Accounting"
TaxGPT,AI Co-Pilot for Accountants and Tax Professionals,"San Francisco, CA, USA","S24,B2B,Finance and Accounting"
Zenbase AI,Continuous prompt optimization for LLMs from DSPy core contributors,"San Francisco, CA, USA","S24,B2B,Engineering, Product and Design"
Taxo,Automated medical billing and coding,"San Francisco, CA, USA","S24,Healthcare"
Mito Health,AI-powered concierge doctor,"San Francisco, CA, USA","S24,Healthcare,Consumer Health and Wellness"
Lighthouz AI,AI agents to automate procurement for manufacturers,"San Francisco, CA, USA","S24,B2B"
Modus,Headcount management to save costs as you scale,Remote,"S24,B2B"
dmodel,Look inside the model,"San Francisco, CA, USA","S24,B2B,Engineering, Product and Design"
LedgerUp,Your first and only finance hire,"San Francisco, CA, USA","S24,B2B,Finance and Accounting"
Plume,Home energy renovations made easy,"San Francisco, CA, USA","S24,Industrials,Climate"
Pulse AI,Procurement on autopilot,"San Francisco, CA, USA","S24,B2B,Supply Chain and Logistics"
AutoPallet Robotics,We make robots that move boxes in warehouses,"San Francisco, CA, USA","S24,Industrials,Manufacturing and Robotics"
stormy.ai,AI layer on top of MacOS that knows you on an unparalleled level,"San Francisco, CA, USA","S24,Consumer"
Merse,Discover and Create Audio-Visual Comics,"San Francisco, CA, USA","S24,Consumer"
AminoAnalytica,AI for enhanced functional proteins,"San Francisco, CA, USA","S24,Healthcare,Industrial Bio"
Gauge,Solving the monolith/microservices dilemma,"San Francisco, CA, USA","S24,B2B,Engineering, Product and Design"
Weave Robotics,Personal robots for the home--that ship in 2025,"San Francisco, CA, USA","S24,Industrials,Manufacturing and Robotics"
Tandem,Marketplace to help companies lease and share office space,"San Francisco, CA, USA","S24,B2B,Office Management"
AnswerGrid,Accelerate your web research.,"San Francisco, CA, USA","S24,B2B,Productivity"
Tivara,Using LLMs to automate insurance approval for healthcare clinics,,"S24,Healthcare"
MinusX,AI Data Scientist for Jupyter and Metabase,"San Francisco, CA, USA","S24,B2B,Analytics"
Snowpilot,The data warehouse that's as simple as a spreadsheet,"San Francisco, CA, USA","S24,B2B"
Passage,"Clear your goods in minutes, with AI ","San Francisco, CA, USA","S24,B2B,Supply Chain and Logistics"
Parahelp,"The AI support agent used by Perplexity, Captions, and other AI…","San Francisco, CA, USA","S24,B2B,Operations"
CodeViz,We build codebase maps for developers,"San Francisco, CA, USA","S24,B2B,Productivity"
Neuralize,Ship better on-device AI faster and without the hassle,,"S24,B2B,Engineering, Product and Design"
Ares Industries,Building low-cost cruise missiles ,"El Segundo, CA, USA","S24,Industrials,Aviation and Space"
Dodo,AI Receptionists for Medical Front Desks,"San Francisco, CA, USA","S24,Healthcare,Healthcare IT"
Driftly,AI-native EHR for home health agencies,,"S24,B2B,Operations"
Elevate,Financial infrastructure for AI agents,"New York, NY, USA","S24,Fintech,Payments"
Offstream,Vanta for carbon compliance,"San Francisco, CA, USA","S24,B2B"
Storia AI,AI pair programmer for engineering teams using all the world’s code,"Millbrae, CA, USA","S24,B2B,Engineering, Product and Design"
"DeepSim, Inc.",An AI physics simulator for AI chip design,"Mountain View, CA, USA","S24,B2B,Productivity"
reworks,Browser-based integrations that don't break,"San Francisco, CA, USA","S24,B2B,Productivity"
Zuni,Smarter email for founders,Remote,"S24,B2B,Productivity"
Proxis,The platform for LLM distillation and serving.,"San Francisco, CA, USA","S24,B2B,Engineering, Product and Design"
Rewbi,Rewbi uses AI to increase grid-connected battery storage revenue 2x,"San Francisco, CA, USA","S24,Industrials,Energy"
Willow,AI-powered Revenue Cycle Management for Long-term Care,"Palo Alto, CA, USA","S24,B2B"
Aviary,AI-based video search for large video collections.,"San Francisco, CA, USA","S24,B2B,Infrastructure"
NetworkOcean,We build and operate underwater data centers.,"San Francisco, CA, USA","S24,Industrials,Climate"
Silurian,Foundation models to simulate Earth,"Kirkland, WA, USA","S24,Industrials,Climate"
Kura,The AI DevOps Copilot,"San Francisco, CA, USA","S24,B2B,Engineering, Product and Design"
Unbound Security,Secure Gen AI apps for the modern enterprise,"San Francisco, CA, USA","S24,B2B,Security"
RetroFix AI,Turbo Tax for Building Rebates,"San Francisco, CA, USA","S24,B2B"
Azalea Robotics Corporation,Azalea Robotics automates airport baggage handling with robots.,"Berkeley, CA, USA","S24,Industrials,Manufacturing and Robotics"
Decisional AI,AI Agent for Financial Analysts,"San Francisco, CA, USA","S24,Fintech"
Moonglow,Connecting local Jupyter notebooks to remote cloud compute.,"San Francisco, CA, USA","S24,B2B,Engineering, Product and Design"
ideate.xyz,AI design co-pilot for content creators,"San Francisco, CA, USA","S24,B2B,Engineering, Product and Design"
Kisho,The AI Data Scientist - a Jupyter Notebook that writes itself.,"San Francisco, CA, USA","S24,B2B,Engineering, Product and Design"
FirstWork,Rippling for frontline workers,"San Francisco, CA, USA","S24,B2B,Human Resources"
Sorcerer,We build weather balloons that collect 1000x more data,"San Francisco, CA, USA","S24,Industrials,Climate"
Wordware,IDE for Building AI Agents with Natural Language Programming,"San Francisco, CA, USA","S24,B2B,Infrastructure"
Honeycomb,Building agents that can code.,"San Francisco, CA, USA","S24,B2B,Engineering, Product and Design"
Maitai,Production-ready AI without the heavy lift,"San Francisco, CA, USA","S24,B2B,Engineering, Product and Design"
Corgi,Corgi is building an AI insurance company,"San Francisco, CA, USA","S24,Fintech,Insurance"
Phonely,Go from a website to an AI receptionist in just a few minutes,"San Francisco, CA, USA","S24,B2B"
VideoGen,Generate professional videos in seconds,"San Francisco, CA, USA","S24,B2B"
Clara,"Helping families discover, hire, and manage in-home caregivers","New York, NY, USA","S24,Healthcare,Consumer Health and Wellness"
Stack Auth,Open-source auth & user management for developers,,"S24,B2B,Engineering, Product and Design"
Patchwork Technologies,Building the next generation logging and observability platform,"London, England, United Kingdom","S24,B2B,Engineering, Product and Design"
Tabular,AI Copilot for Accounting Firms,"Berlin, Berlin, Germany","S24,B2B,Finance and Accounting"
Callback,AI-native business process outsourcing,"San Francisco, CA, USA","S24,B2B,Operations"
Flyflow,The easiest way to find high-quality sales leads,"San Francisco, CA, USA","S24,B2B,Sales"
Bayesline,Highly customizable and blazingly fast analytics for asset managers.,"New York, NY, USA","S24,Fintech,Asset Management"
DigitalCarbon,Transform Images And Videos Into Immersive 3D With AI,"San Francisco, CA, USA","S24,B2B"
Random Labs,Random labs is building fully open source software agents,,"S24,B2B,Engineering, Product and Design"
Unsloth AI,Open Source Fine-tuning & Training of LLMs,"San Francisco, CA, USA","S24,B2B,Engineering, Product and Design"
Codes Health,Perfect medical histories prior to care,"New York, NY, USA","S24,Healthcare"
Entangl,Detect errors in complex engineering projects using AI,"San Francisco, CA, USA","S24,B2B,Engineering, Product and Design"
ClaimSorted,Third Party Administrator handling insurance claims with AI,"New York, NY, USA","S24,Fintech,Insurance"
mdhub,Clinical AI assistant for mental health clinicians,"San Francisco, CA, USA","S24,Healthcare"
Hamming AI,Automated testing for AI voice agents,"San Francisco, CA, USA","S24,B2B,Engineering, Product and Design"
Genie,Conversational AI Sidekick for Kids.,"Lake Oswego, OR, USA","S24,Consumer,Social"
ProhostAI,AI-powered operating system for Airbnb hosts,"San Francisco, CA, USA","S24,B2B"
Educato AI,Building exam-prep platforms worldwide using AI,"San Francisco, CA, USA","S24,Education"
Spaceium Inc,Fully automated space stations for refueling and repair of spacecraft,"Long Beach, CA, USA","S24,Industrials,Aviation and Space"
Comfy Deploy,Best place for product teams to use ComfyUI.,"San Francisco, CA, USA","S24,B2B,Engineering, Product and Design"
Synnax,Control & Sensor Data Processing for High-Cadence Hardware Teams,"San Francisco, CA, USA","S24,B2B,Infrastructure"
Theseus,GPS Denied Navigation for Drones,,"S24,Industrials,Drones"
Saphira AI,Vanta for Hardware,"San Francisco, CA, USA","S24,B2B,Engineering, Product and Design"
Glasskube,The next generation Package Manager for Kubernetes,"Vienna, Vienna, Austria","S24,B2B,Infrastructure"
Mem0,The Memory Layer for Personalized AI,"Mountain View, CA, USA","S24,B2B,Infrastructure"
Cheers,The super-app for in-person employee management,"San Francisco, CA, USA","S24,B2B"
Moment Robotics,Robots to automate the movement of goods within hospitals ,Remote,"S24,Industrials,Manufacturing and Robotics"
Ply Health,Faster way to get providers in-network with payers.,Remote,"S24,Healthcare"
Superfilter,Expert assistant that manages your email.,Remote,"S24,Consumer"
Superunit,AI accounting agent for companies selling physical goods,"Los Angeles, CA, USA","S24,B2B,Operations"
Undermind,A search engine for complex questions,"San Francisco, CA, USA","S24,Education"
Domu Technology Inc.,Automating debt collection calls for banks.,"San Francisco, CA, USA","S24,B2B,Engineering, Product and Design"
Apten,Customizable AI SMS agents for businesses,"San Francisco, CA, USA","S24,B2B,Marketing"
Spherecast,AI-powered Inventory Management for Ecommerce,,"S24,B2B,Supply Chain and Logistics"
Miru,Deployment infrastructure for robotics & IoT,"San Francisco, CA, USA","S24,B2B,Infrastructure"
CardLift,We help credit card issuers increase their share of wallet.,"Mountain View, CA, USA","S24,Fintech"
Abel Police,Automating police paperwork,"San Francisco, CA, USA","S24,Government"
Ultra,Robots to package billions of e-commerce orders in warehouses,"New York, NY, USA","S24,Industrials,Manufacturing and Robotics"
